date,Cloud Computing,isPartial
2024-03-31,83,False
2024-04-07,78,False
2024-04-14,91,False
2024-04-21,94,False
2024-04-28,93,False
2024-05-05,93,False
2024-05-12,87,False
2024-05-19,100,False
2024-05-26,90,False
2024-06-02,82,False
2024-06-09,85,False
2024-06-16,64,False
2024-06-23,88,False
2024-06-30,67,False
2024-07-07,70,False
2024-07-14,80,False
2024-07-21,83,False
2024-07-28,70,False
2024-08-04,89,False
2024-08-11,73,False
2024-08-18,78,False
2024-08-25,83,False
2024-09-01,80,False
2024-09-08,83,False
2024-09-15,80,False
2024-09-22,92,False
2024-09-29,79,False
2024-10-06,80,False
2024-10-13,81,False
2024-10-20,89,False
2024-10-27,63,False
2024-11-03,76,False
2024-11-10,91,False
2024-11-17,96,False
2024-11-24,87,False
2024-12-01,99,False
2024-12-08,88,False
2024-12-15,74,False
2024-12-22,60,False
2024-12-29,63,False
2025-01-05,85,False
2025-01-12,70,False
2025-01-19,92,False
2025-01-26,76,False
2025-02-02,78,False
2025-02-09,79,False
2025-02-16,80,False
2025-02-23,81,False
2025-03-02,87,False
2025-03-09,81,False
2025-03-16,86,False
2025-03-23,84,False
2025-03-30,69,True
